Item_Number,Condition,TrialType,SentenceType,Sentence,List
89,Speaker_Error,filler,filler,The jewelry-maker was commissioned by the millionaire.,1
90,Speaker_Error,filler,filler,The apple was placed on the teacher's desk.,1
91,Speaker_Error,filler,filler,The nurse poured some water for the old man.,1
92,Speaker_Error,filler,filler,The bartender poured a drink for the customer.,1
93,Speaker_Error,filler,filler,The moose's head was mounted on the wall.,1
94,Speaker_Error,filler,filler,The mobile was hanging from the ceiling.,1
95,Speaker_Error,filler,filler,The coach encouraged the team to score in the last quarter.,1
96,Speaker_Error,filler,filler,An old woman lives in the woods.,1
97,Speaker_Error,filler,filler,The submarine captain accepted the mission.,1
98,Speaker_Error,filler,filler,A ghost appeared above the bed.,1
99,Speaker_Error,filler,filler,The student spent all night studying and aced the test.,1
100,Speaker_Error,filler,filler,The chef cleaned the ladle before he stirred the soup.,1
101,Speaker_Error,filler,filler,The helicopter hovered over the water.,1
102,Speaker_noError,filler,filler,Some of the woman's cats were scared of dogs but most of them weren't.,1
103,Speaker_noError,filler,filler,The first-graders liked their teacher because she used games to teach them how to read.,1
104,Speaker_noError,filler,filler,The grandmother made a quilt for her granddaughter.,1
105,Speaker_noError,filler,filler,The travel agent reserved a flight for the businessman.,1
106,Speaker_noError,filler,filler,A cat jumped onto the table.,1
107,Speaker_noError,filler,filler,The apprentice fetched a hammer for the carpenter.,1
108,Speaker_noError,filler,filler,The painting hung on the bedroom wall.,1
109,Speaker_noError,filler,filler,Some treasure was found in the cave.,1
110,Speaker_noError,filler,filler,The name was engraved on the ring.,1
111,Speaker_noError,filler,filler,The cheerleader was treated by a doctor who had been watching the game.,1
112,Speaker_noError,filler,filler,The baby crawled into the hallway.,1
113,Speaker_noError,filler,filler,The train arrived at the station.,1
114,Speaker_noError,filler,filler,The seamstress made a dress for her client.,1
115,Speaker_noError,filler,filler,The father bought a bicycle for his son.,1
116,Speaker_noError,filler,filler,The hiker was rescued by a ranger who had been on patrol.,1
117,Speaker_noError,filler,filler,The ballet instructor encouraged her students to practice more.,1
118,Speaker_noError,filler,filler,The lawyer was insulted by the judge.,1
119,Speaker_noError,filler,filler,A flowering plant is on the window sill.,1
120,Speaker_noError,filler,filler,The secretary ordered some office supplies for the boss.,1
121,Speaker_noError,filler,filler,The runner trained for months before the marathon.,1
122,Speaker_noError,filler,filler,The TA was criticized by the professor.,1
123,Speaker_noError,filler,filler,The athlete was treated by a nurse who had been listening to music.,1
124,Speaker_noError,filler,filler,The marathoner ran into the stadium.,1
125,Speaker_noError,filler,filler,The receptionist saved some cake for her co-worker.,1
126,Speaker_noError,filler,filler,The dog trainer taught the puppy to roll over.,1
127,Speaker_noError,filler,filler,The astronaut accepted the mission.,1
128,Speaker_noError,filler,filler,The girl was pushed by the boy.,1
129,Speaker_noError,filler,filler,The defendant's name was written on the check.,1
130,Speaker_noError,filler,filler,The bank robber spent thirty minutes cracking the code for the safe.,1
